Start Time (s),End Time (s),Chord
0.0,0.9,Am
0.9,1.15,Bbm
1.16,1.36,Am
1.61,2.03,Bm
2.07,2.32,C#m
2.32,2.52,Dm
2.54,2.76,C#m
2.78,3.01,Am
3.24,3.47,C#m
3.74,3.98,Am
3.98,4.2,C#m
4.2,4.42,Dm
4.66,4.91,Cm
4.91,5.12,Bbm
5.83,6.05,C#m
6.05,6.3,Dm
6.55,6.77,Cm
6.79,6.99,Bbm
7.02,7.23,C#m
7.26,7.49,Bm
7.49,7.71,Am
7.71,7.96,C#m
7.96,8.16,Dm
8.19,8.39,C#m
8.41,8.67,Bm
9.12,9.37,Bm
9.37,9.59,Am
9.59,9.82,C#m
9.82,10.07,Dm
10.3,10.57,Bm
10.79,11.0,C#m
11.51,11.74,C#m
11.74,11.97,Dm
11.99,12.2,C#m
12.22,12.46,Am
12.7,12.9,C#m
12.92,13.2,Bm
13.2,13.42,Am
13.42,13.66,C#m
13.92,14.13,C#m
14.14,14.41,Am
14.62,14.86,C#m
14.86,15.1,Bm
15.1,15.32,Am
15.32,15.57,C#m
15.98,16.32,Am
16.43,16.81,Am
16.97,17.26,Am
17.9,18.3,C#m
22.14,22.35,Cm
22.4,23.02,Am
23.82,24.06,Am
24.06,24.3,C#m
24.78,25.02,C#m
25.75,25.97,Am
25.97,26.17,C#m
26.71,26.92,C#m
27.37,27.81,Bbm
27.84,28.08,C#m
28.58,28.82,C#m
28.97,29.55,Am
29.75,29.98,C#m
29.98,30.25,Am
30.25,30.47,Bm
30.49,30.72,C#m
33.89,34.12,Bbm
34.53,59.89,Am
60.24,61.52,Am
61.55,61.75,Am
61.76,62.23,Am
62.74,62.95,Am
62.97,63.2,Am
63.92,64.12,Bm
64.53,64.83,Bm
65.19,65.63,Am
66.08,66.31,Am
66.57,66.8,C#m
66.8,67.03,Dm
67.03,67.28,C#m
67.28,67.53,Am
67.74,67.95,C#m
68.23,68.44,Bm
68.49,68.73,C#m
68.73,68.97,Bbm
69.01,69.46,Am
69.46,70.19,Am
70.41,70.65,C#m
71.08,71.35,Am
71.35,71.58,Bm
72.07,72.3,Ebm
72.3,72.53,Bm
72.53,72.78,A
74.77,74.97,A
76.71,76.91,C#m
77.73,78.44,Bbm
78.56,78.86,C#m
78.92,79.12,Bm
79.57,79.86,Bbm
79.87,80.27,Bbm
80.57,80.79,C#m
80.81,81.26,Bm
81.26,81.5,Bm
81.5,82.41,Cm
82.55,82.77,C#m
83.44,84.28,Cm
84.44,84.68,C#m
84.69,85.74,Bm
89.3,89.93,Bbm
89.94,90.67,Bbm
90.68,91.38,Bbm
91.91,92.21,Bbm
92.27,105.8,Am
106.15,119.1,Am
119.33,123.09,Am
123.17,123.61,Am
123.66,123.9,Cm
124.92,125.13,Am
125.13,125.33,Bm
125.35,125.57,Am
125.86,126.1,Am
126.83,127.14,Am
127.32,127.53,C#m
128.06,128.28,C#m
128.76,128.99,Bbm
129.76,129.98,Am
130.68,130.94,Am
130.95,131.22,Am
131.9,132.11,C#m
132.61,132.88,Am
132.88,133.08,Bm
133.58,133.84,Ebm
133.84,134.07,Bm
134.07,134.31,A
135.68,135.89,A
136.22,136.43,A
136.71,136.93,A
137.42,137.64,A
138.46,144.88,Am
145.19,150.15,Am
150.29,154.12,Am
154.12,154.83,Am
155.45,155.86,Am
156.04,156.31,Bbm
157.79,158.0,Dm
158.9,159.17,Ebm
162.33,162.63,Cm
164.94,165.24,Bbm
165.63,165.88,Bm
167.86,168.07,C#m
168.21,168.58,C#m
168.58,169.0,Am
169.37,169.63,Bbm
169.83,170.05,Cm
172.01,172.41,Cm
172.65,173.15,Cm
175.62,176.3,Cm
176.38,176.72,Bbm
178.44,178.72,Cm
179.33,179.55,Bbm
179.7,180.02,Cm
181.7,182.06,Bbm
182.4,182.71,Bbm
183.48,183.75,Cm
186.82,187.06,Bm
192.48,192.68,Am
195.8,196.01,Am
197.88,198.25,C#m
200.29,200.49,C#m
203.39,203.61,Am
204.08,204.39,Am
214.12,214.43,C#m
215.71,215.93,Am
215.94,216.17,Bm
218.06,224.68,Am
224.82,225.47,Cm
225.76,228.05,Am
228.17,231.79,Am
232.36,234.1,Am
234.87,238.94,Am
239.16,239.7,Am
240.19,243.47,Am
243.91,245.29,Am
245.53,247.16,Am
248.19,248.57,Am
248.73,248.93,Am
249.1,249.44,Am
249.6,250.77,Am
251.8,252.01,Am
258.67,258.94,Ebm
259.66,259.9,C#m
261.59,261.79,C#m
262.1,263.06,C#m
264.27,264.49,C#m
266.79,267.0,Bbm
273.1,273.38,Am
275.04,275.38,Cm
279.22,280.1,Am
280.42,280.63,Am
280.63,281.22,Cm
281.26,282.46,Am
282.46,283.65,Cm
284.03,284.49,Cm
284.9,285.3,Am
286.61,287.06,Am
287.23,302.96,Am
